No.,Tour Length
1,243
2,272
3,245
4,234
5,248
6,250
7,253
8,256
9,220
10,233
11,229
12,249
13,240
14,252
15,239
16,254
17,257
18,246
19,235
20,236
21,229
22,233
23,246
24,244
25,241
26,242
27,263
28,245
29,216
30,265
31,256
32,272
33,243
34,246
35,236
36,235
37,257
38,243
39,280
40,229
41,247
42,225
43,239
44,250
45,219
46,283
47,280
48,238
49,241
50,236
51,266
52,289
53,249
54,252
55,264
56,244
57,246
58,256
59,238
60,268
61,244
62,231
63,243
64,253
65,234
66,255
67,240
68,221
69,252
70,220
71,214
72,245
73,244
74,244
75,258
76,248
77,261
78,252
79,246
80,252
81,232
82,248
83,286
84,255
85,241
86,235
87,238
88,235
89,233
90,233
91,228
92,255
93,275
94,275
95,271
96,237
97,243
98,242
99,252
100,246
